8/26,Jacksonville State,17,Texas-El Paso,14
8/26,Louisiana Tech,22,Florida International,17
8/26,New Mexico State,30,Massachusetts,41
8/26,Notre Dame,42,Navy,3
8/26,San Diego State,20,Ohio,13
8/26,Southern California,56,San Jose State,28
8/26,Vanderbilt,35,Hawaii,28
8/31,Central Florida,56,Kent State,6
8/31,Connecticut,14,North Carolina State,24
8/31,Minnesota,13,Nebraska,10
8/31,Utah,24,Florida,11
9/1,Georgia Tech,34,Louisville,39
9/1,Hawaii,24,Stanford,37
9/1,Miami (Florida),38,Miami (Ohio),3
9/1,Michigan State,31,Central Michigan,7
9/2,Alabama,56,Middle Tennessee State,7
9/2,Auburn,59,Massachusetts,14
9/2,Baylor,31,Texas State,42
9/2,Boston College,24,Northern Illinois,27
9/2,Brigham Young,14,Sam Houston State,0
9/2,Colorado State,24,Washington State,50
9/2,Houston,17,Texas-San Antonio,14
9/2,Illinois,30,Toledo,28
9/2,Indiana,3,Ohio State,23
9/2,Iowa,24,Utah State,14
9/2,Kentucky,44,Ball State,14
9/2,Liberty,34,Bowling Green,24
9/2,Louisiana-Monroe,17,Army,13
9/2,Michigan,30,East Carolina,3
9/2,North Texas,21,California,58
9/2,Oklahoma,73,Arkansas State,0
9/2,Penn State,38,West Virginia,15
9/2,Purdue,35,Fresno State,39
9/2,South Carolina,17,North Carolina,31
9/2,Southern California,66,Nevada,14
9/2,Southern Methodist,38,Louisiana Tech,14
9/2,Temple,24,Akron,21
9/2,Tennessee,49,Virginia,13
9/2,Texas,37,Rice,10
9/2,Texas A&M,52,New Mexico,10
9/2,Texas Christian,42,Colorado,45
9/2,Tulane,37,South Alabama,17
9/2,UCLA,27,Coastal Carolina,13
9/2,Virginia Tech,36,Old Dominion,17
9/2,Washington,56,Boise State,19
9/2,Western Kentucky,41,South Florida,24
9/2,Wisconsin,38,Buffalo,17
9/2,Wyoming,35,Texas Tech,33
9/3,Florida State,45,Louisiana State,24
9/3,Rutgers,24,Northwestern,7
9/3,San Jose State,17,Oregon State,42
9/4,Duke,28,Clemson,7
9/8,Kansas,34,Illinois,23
9/9,Alabama,24,Texas,34
9/9,Arizona State,15,Oklahoma State,27
9/9,Arkansas,28,Kent State,6
9/9,Arkansas State,3,Memphis,37
9/9,Baylor,13,Utah,20
9/9,Boise State,16,Central Florida,18
9/9,California,10,Auburn,14
9/9,Coastal Carolina,30,Jacksonville State,16
9/9,Colorado,36,Nebraska,14
9/9,East Carolina,13,Marshall,31
9/9,Florida Atlantic,10,Ohio,17
9/9,Florida International,46,North Texas,39
9/9,Florida State,66,Southern Mississippi,13
9/9,Georgia,45,Ball State,3
9/9,Georgia Southern,49,Alabama-Birmingham,35
9/9,Georgia State,35,Connecticut,14
9/9,Iowa State,13,Iowa,20
9/9,Kansas State,42,Troy,13
9/9,Liberty,33,New Mexico State,17
9/9,Maryland,38,Charlotte,20
9/9,Massachusetts,28,Miami (Ohio),41
9/9,Miami (Florida),48,Texas A&M,33
9/9,Michigan,35,Nevada-Las Vegas,7
9/9,Minnesota,25,Eastern Michigan,6
9/9,Mississippi State,31,Arizona,24
9/9,Missouri,23,Middle Tennessee State,19
9/9,North Carolina,40,Appalachian State,34
9/9,North Carolina State,24,Notre Dame,45
9/9,Northwestern,38,Texas-El Paso,7
9/9,Oklahoma,28,Southern Methodist,11
9/9,Old Dominion,38,Louisiana,31
9/9,Pittsburgh,21,Cincinnati,27
9/9,Rice,43,Houston,41
9/9,Rutgers,36,Temple,7
9/9,Sam Houston State,3,Air Force,13
9/9,San Diego State,10,UCLA,35
9/9,Southern California,56,Stanford,10
9/9,Syracuse,48,Western Michigan,7
9/9,Texas Tech,30,Oregon,38
9/9,Texas-San Antonio,20,Texas State,13
9/9,Tulane,20,Mississippi,37
9/9,Virginia,35,James Madison,36
9/9,Virginia Tech,17,Purdue,24
9/9,Wake Forest,36,Vanderbilt,20
9/9,Washington,43,Tulsa,10
9/9,Washington State,31,Wisconsin,22
9/14,Memphis,28,Navy,24
9/15,Air Force,39,Utah State,21
9/15,Maryland,42,Virginia,14
9/15,Texas-San Antonio,29,Army,37
9/16,Alabama-Birmingham,21,Louisiana,41
9/16,Appalachian State,43,East Carolina,28
9/16,Arizona,31,Texas-El Paso,10
9/16,Arizona State,0,Fresno State,29
9/16,Arkansas,31,Brigham Young,38
9/16,Boston College,29,Florida State,31
9/16,Buffalo,27,Liberty,55
9/16,Charlotte,25,Georgia State,41
9/16,Cincinnati,24,Miami (Ohio),31
9/16,Clemson,48,Florida Atlantic,14
9/16,Colorado,43,Colorado State,35
9/16,Connecticut,17,Florida International,24
9/16,Duke,38,Northwestern,14
9/16,Eastern Michigan,19,Massachusetts,17
9/16,Florida,29,Tennessee,16
9/16,Georgia,24,South Carolina,14
9/16,Houston,13,Texas Christian,36
9/16,Illinois,13,Penn State,30
9/16,Indiana,14,Louisville,21
9/16,Iowa,41,Western Michigan,10
9/16,Kentucky,35,Akron,3
9/16,Louisiana Tech,37,North Texas,40
9/16,Michigan,31,Bowling Green,6
9/16,Michigan State,7,Washington,41
9/16,Mississippi,48,Georgia Tech,23
9/16,Mississippi State,14,Louisiana State,41
9/16,Missouri,30,Kansas State,27
9/16,Nebraska,35,Northern Illinois,11
9/16,Nevada,24,Kansas,31
9/16,Nevada-Las Vegas,40,Vanderbilt,37
9/16,New Mexico,17,New Mexico State,27
9/16,North Carolina,31,Minnesota,13
9/16,Notre Dame,41,Central Michigan,17
9/16,Ohio,10,Iowa State,7
9/16,Ohio State,63,Western Kentucky,10
9/16,Oklahoma State,7,South Alabama,33
9/16,Old Dominion,24,Wake Forest,27
9/16,Oregon,55,Hawaii,10
9/16,Oregon State,26,San Diego State,9
9/16,Purdue,20,Syracuse,35
9/16,Rutgers,35,Virginia Tech,16
9/16,South Florida,3,Alabama,17
9/16,Southern Mississippi,7,Tulane,21
9/16,Texas,31,Wyoming,10
9/16,Texas A&M,47,Louisiana-Monroe,3
9/16,Toledo,21,San Jose State,17
9/16,Troy,14,James Madison,16
9/16,Tulsa,17,Oklahoma,66
9/16,West Virginia,17,Pittsburgh,6
9/16,Wisconsin,35,Georgia Southern,14
9/21,Coastal Carolina,17,Georgia State,30
9/22,Purdue,17,Wisconsin,38
9/22,San Diego State,31,Boise State,34
9/22,San Jose State,20,Air Force,45
9/22,Virginia,21,North Carolina State,24
9/23,Alabama,24,Mississippi,10
9/23,Arizona State,28,Southern California,42
9/23,Arkansas State,44,Southern Mississippi,37
9/23,Ball State,3,Georgia Southern,40
9/23,Baylor,6,Texas,38
9/23,Bowling Green,7,Ohio,38
9/23,Cincinnati,6,Oklahoma,20
9/23,Clemson,24,Florida State,31
9/23,Connecticut,7,Duke,41
9/23,Florida,22,Charlotte,7
9/23,Florida International,6,Liberty,38
9/23,Fresno State,53,Kent State,10
9/23,Georgia,49,Alabama-Birmingham,21
9/23,Hawaii,20,New Mexico State,17
9/23,Houston,38,Sam Houston State,7
9/23,Illinois,23,Florida Atlantic,17
9/23,Indiana,29,Akron,27
9/23,Iowa State,34,Oklahoma State,27
9/23,Jacksonville State,21,Eastern Michigan,0
9/23,Kansas,38,Brigham Young,27
9/23,Kansas State,44,Central Florida,31
9/23,Louisiana,45,Buffalo,38
9/23,Louisiana State,34,Arkansas,31
9/23,Louisville,56,Boston College,28
9/23,Marshall,24,Virginia Tech,17
9/23,Massachusetts,31,New Mexico,34
9/23,Michigan,31,Rutgers,7
9/23,Michigan State,9,Maryland,31
9/23,Middle Tennessee State,23,Colorado State,31
9/23,Missouri,34,Memphis,27
9/23,Nebraska,28,Louisiana Tech,14
9/23,Northern Illinois,14,Tulsa,22
9/23,Northwestern,37,Minnesota,34
9/23,Notre Dame,14,Ohio State,17
9/23,Oregon,42,Colorado,6
9/23,Penn State,31,Iowa,0
9/23,Pittsburgh,24,North Carolina,41
9/23,South Alabama,30,Central Michigan,34
9/23,South Carolina,37,Mississippi State,30
9/23,South Florida,42,Rice,29
9/23,Stanford,20,Arizona,21
9/23,Syracuse,29,Army,16
9/23,Temple,7,Miami (Florida),41
9/23,Tennessee,45,Texas-San Antonio,14
9/23,Texas A&M,27,Auburn,10
9/23,Texas Christian,34,Southern Methodist,17
9/23,Texas State,35,Nevada,24
9/23,Texas-El Paso,28,Nevada-Las Vegas,45
9/23,Toledo,49,Western Michigan,31
9/23,Troy,27,Western Kentucky,24
9/23,Utah,14,UCLA,7
9/23,Utah State,38,James Madison,45
9/23,Vanderbilt,28,Kentucky,45
9/23,Wake Forest,16,Georgia Tech,30
9/23,Washington,59,California,32
9/23,Washington State,38,Oregon State,35
9/23,West Virginia,20,Texas Tech,13
9/23,Wyoming,22,Appalachian State,19
9/28,Sam Houston State,28,Jacksonville State,35
9/28,Tulsa,48,Temple,26
9/28,Western Kentucky,31,Middle Tennessee State,10
9/29,Brigham Young,35,Cincinnati,27
9/29,North Carolina State,10,Louisville,13
9/29,Oregon State,21,Utah,7
9/29,Texas-El Paso,10,Louisiana Tech,24
9/30,Air Force,49,San Diego State,10
9/30,Akron,10,Buffalo,13
9/30,Arizona,24,Washington,31
9/30,Arkansas,22,Texas A&M,34
9/30,Auburn,20,Georgia,27
9/30,Boston College,27,Virginia,24
9/30,California,24,Arizona State,21
9/30,Central Florida,35,Baylor,36
9/30,Central Michigan,26,Eastern Michigan,23
9/30,Colorado,41,Southern California,48
9/30,Connecticut,33,Utah State,34
9/30,Duke,14,Notre Dame,21
9/30,Fresno State,27,Nevada,9
9/30,Georgia Southern,38,Coastal Carolina,28
9/30,Georgia State,7,Troy,28
9/30,Georgia Tech,20,Bowling Green,38
9/30,Iowa,26,Michigan State,16
9/30,James Madison,31,South Alabama,23
9/30,Kent State,3,Miami (Ohio),23
9/30,Kentucky,33,Florida,14
9/30,Louisiana-Monroe,40,Appalachian State,41
9/30,Marshall,41,Old Dominion,35
9/30,Maryland,44,Indiana,17
9/30,Massachusetts,28,Arkansas State,52
9/30,Memphis,35,Boise State,32
9/30,Minnesota,35,Louisiana,24
9/30,Mississippi,55,Louisiana State,49
9/30,Mississippi State,17,Alabama,40
9/30,Navy,30,South Florida,44
9/30,Nebraska,7,Michigan,45
9/30,Nevada-Las Vegas,44,Hawaii,20
9/30,Northwestern,13,Penn State,41
9/30,Oklahoma,50,Iowa State,20
9/30,Purdue,44,Illinois,19
9/30,Rice,24,East Carolina,17
9/30,Southern Methodist,34,Charlotte,16
9/30,Southern Mississippi,36,Texas State,50
9/30,Stanford,6,Oregon,42
9/30,Syracuse,14,Clemson,31
9/30,Tennessee,41,South Carolina,20
9/30,Texas,40,Kansas,14
9/30,Texas Christian,21,West Virginia,24
9/30,Texas Tech,49,Houston,28
9/30,Toledo,35,Northern Illinois,33
9/30,Tulane,35,Alabama-Birmingham,23
9/30,Vanderbilt,21,Missouri,38
9/30,Virginia Tech,38,Pittsburgh,21
9/30,Western Michigan,42,Ball State,24
9/30,Wyoming,35,New Mexico,26
10/4,Middle Tennessee State,30,Jacksonville State,45
10/4,New Mexico State,34,Florida International,17
10/5,Liberty,21,Sam Houston State,16
10/5,Louisiana Tech,28,Western Kentucky,35
10/6,Illinois,7,Nebraska,20
10/6,Oklahoma State,29,Kansas State,21
10/7,Akron,14,Northern Illinois,55
10/7,Alabama-Birmingham,56,South Florida,35
10/7,Arizona State,24,Colorado,27
10/7,Army,24,Boston College,27
10/7,Baylor,14,Texas Tech,39
10/7,Boise State,35,San Jose State,27
10/7,Buffalo,37,Central Michigan,13
10/7,California,40,Oregon State,52
10/7,Clemson,17,Wake Forest,12
10/7,Eastern Michigan,24,Ball State,10
10/7,Florida,38,Vanderbilt,14
10/7,Florida Atlantic,20,Tulsa,17
10/7,Florida State,39,Virginia Tech,17
10/7,Georgia,51,Kentucky,13
10/7,Iowa,20,Purdue,14
10/7,Iowa State,27,Texas Christian,14
10/7,Kansas,51,Central Florida,22
10/7,Louisiana,34,Texas State,30
10/7,Louisiana-Monroe,7,South Alabama,55
10/7,Louisville,33,Notre Dame,20
10/7,Massachusetts,24,Toledo,41
10/7,Miami (Florida),20,Georgia Tech,23
10/7,Miami (Ohio),27,Bowling Green,0
10/7,Minnesota,10,Michigan,52
10/7,Mississippi,27,Arkansas,20
10/7,Mississippi State,41,Western Michigan,28
10/7,Missouri,39,Louisiana State,49
10/7,Navy,27,North Texas,24
10/7,North Carolina,40,Syracuse,7
10/7,North Carolina State,48,Marshall,41
10/7,Ohio,42,Kent State,17
10/7,Ohio State,37,Maryland,17
10/7,Rice,31,Connecticut,38
10/7,Southern California,43,Arizona,41
10/7,Southern Mississippi,13,Old Dominion,17
10/7,Temple,34,Texas-San Antonio,49
10/7,Texas,30,Oklahoma,34
10/7,Texas A&M,20,Alabama,26
10/7,Troy,37,Arkansas State,3
10/7,UCLA,25,Washington State,17
10/7,Utah State,44,Colorado State,24
10/7,Wisconsin,24,Rutgers,13
10/7,Wyoming,24,Fresno State,19
10/10,Appalachian State,24,Coastal Carolina,27
10/10,Jacksonville State,13,Liberty,31
10/10,Middle Tennessee State,31,Louisiana Tech,23
10/11,Florida International,14,Texas-El Paso,27
10/11,New Mexico State,27,Sam Houston State,13
10/12,East Carolina,10,Southern Methodist,31
10/12,Houston,41,West Virginia,39
10/13,Colorado,43,Stanford,46
10/13,Memphis,21,Tulane,31
10/13,Utah State,32,Fresno State,37
10/14,Air Force,34,Wyoming,27
10/14,Alabama,24,Arkansas,21
10/14,Army,0,Troy,19
10/14,Ball State,6,Toledo,13
10/14,Buffalo,14,Bowling Green,24
10/14,Central Michigan,17,Akron,10
10/14,Charlotte,0,Navy,14
10/14,Cincinnati,10,Iowa State,30
10/14,Colorado State,31,Boise State,30
10/14,Duke,24,North Carolina State,3
10/14,Eastern Michigan,28,Kent State,14
10/14,Florida State,41,Syracuse,3
10/14,Georgia State,41,Marshall,24
10/14,Hawaii,34,San Diego State,41
10/14,James Madison,41,Georgia Southern,13
10/14,Kentucky,21,Missouri,38
10/14,Louisiana State,48,Auburn,18
10/14,Maryland,24,Illinois,27
10/14,Michigan,52,Indiana,7
10/14,Nevada,27,Nevada-Las Vegas,45
10/14,New Mexico,24,San Jose State,52
10/14,North Carolina,41,Miami (Florida),31
10/14,North Texas,45,Temple,14
10/14,Northern Illinois,23,Ohio,13
10/14,Notre Dame,48,Southern California,20
10/14,Oklahoma State,39,Kansas,32
10/14,Oregon State,36,UCLA,24
10/14,Penn State,63,Massachusetts,0
10/14,Pittsburgh,38,Louisville,21
10/14,Purdue,7,Ohio State,41
